Participant ID,Water System,Disinfectant,Sample Type,Monochloramine,Chlorine,Ammonia,Nitrate,Nitrite,Lead,Turbidity,pH,Filter
2,Manville,1,1,0.01,N/A,0.01,0.262,N/A,N/A,0.84,8.43,2
2,Manville,1,2,0.03,N/A,0.02,0.457,N/A,N/A,0.12,8.38,2
3,Austin Water,1,1,0.21,N/A,0.19,0.194,N/A,N/A,0.19,9.51,1
3,Austin Water,1,2,0.42,N/A,0.18,0.184,N/A,N/A,0.14,9.49,1
4,Austin Water,1,1,2.31,N/A,0.09,0.17,N/A,N/A,0.15,9.42,0
4,Austin Water,1,2,2.27,N/A,0.1,0.164,N/A,N/A,0.13,9.27,0
9,Creedmoor,1,1,1.68,N/A,0.1,0.189,N/A,N/A,0.12,7.92,0
9,Creedmoor,1,2,1.87,N/A,0.07,0.169,N/A,N/A,0.01,9.17,0
11,Austin Water,1,1,0.64,N/A,0.22,0.067,N/A,N/A,0.12,9.45,1
11,Austin Water,1,2,0.54,N/A,0.25,0.315,N/A,N/A,0.1,9.35,1
2,Manville,1,1,0.03,N/A,0.02,0.188,N/A,N/A,0.3,8.38,2
2,Manville,1,2,0.02,N/A,0.04,0.388,N/A,N/A,0.31,8.3,2
3,Austin Water,1,1,1.18,N/A,0.32,0.224,N/A,N/A,0.16,9.48,1
3,Austin Water,1,2,1.47,N/A,0.36,0.157,N/A,N/A,0.07,9.5,1
4,Austin Water,1,1,2.08,N/A,0.1,0.265,N/A,N/A,0.62,9.36,0
4,Austin Water,1,2,2.04,N/A,0.11,0.233,N/A,N/A,0.17,9.42,0
9,Creedmoor,1,1,1.73,N/A,0.07,0.313,N/A,N/A,0.12,9.26,0
9,Creedmoor,1,2,1.68,N/A,0.09,0.327,N/A,N/A,0.03,9.43,0
11,Austin Water,1,1,0.1,N/A,0.28,0.251,N/A,N/A,0.13,9.16,1
11,Austin Water,1,2,0.1,N/A,0.27,0.235,N/A,N/A,0.05,9.18,1
12,Manville,1,1,1.2,N/A,0.07,0.446,N/A,N/A,0.22,9.14,0
12,Manville,1,2,1,N/A,0.08,0.454,N/A,N/A,0.07,9.1,0
2,Austin Water,1,1,0,N/A,0.04,0.211,N/A,N/A,0.17,8.52,2
2,Austin Water,1,2,0,N/A,0.03,0.125,N/A,N/A,0.02,8.49,2
3,Austin Water,1,1,0.29,N/A,0.32,0.212,N/A,N/A,0.3,9.62,1
3,Austin Water,1,2,0.14,N/A,0.38,0.194,N/A,N/A,0.01,9.42,1
4,Austin Water,1,1,1.25,N/A,0.11,0.241,N/A,N/A,0.28,9.4,0
4,Austin Water,1,2,1.71,N/A,0.09,0.221,N/A,N/A,0.08,9.16,0
9,Creedmoor,1,1,1.4,N/A,0.01,0.26,N/A,N/A,0.43,9.33,0
9,Creedmoor,1,2,1.54,N/A,0.02,0.252,N/A,N/A,0.06,9.43,0
11,Austin Water,1,1,0,N/A,0.33,0.257,N/A,N/A,0.38,9.64,1
11,Austin Water,1,2,0.31,N/A,0.3,0.246,N/A,N/A,0.12,9.71,1
12,Austin Water,1,1,0,N/A,0.18,0.366,N/A,N/A,0.32,9.03,0
12,Austin Water,1,2,0.72,N/A,0.23,0.361,N/A,N/A,0.15,9.04,0
2,Austin Water,1,3,0.05,0.13,0.01,N/A,N/A,N/A,N/A,8.37,2
3,Austin Water,1,3,1.69,0.17,0.72,N/A,N/A,N/A,N/A,9.67,1
4,Austin Water,1,3,1.99,0.19,0.56,N/A,N/A,N/A,N/A,9.6,0
9,Creedmoor,1,3,1.64,0.2,0.51,N/A,N/A,N/A,N/A,9.52,0
11,Austin Water,1,3,1.04,0.11,0.68,N/A,N/A,N/A,N/A,9.64,1
1,Austin Water,1,3,1.64,0.25,0.52,N/A,N/A,N/A,0.04,9.9,0
21,Austin Water,1,3,1.58,0.3,1.02,N/A,N/A,N/A,0.18,9.36,0
10,Austin Water,1,3,1.73,0.21,0.52,N/A,N/A,N/A,0.05,9.35,0
18,Austin Water,1,3,0.05,0.63,0,N/A,N/A,N/A,0.05,8.25,0
25,SWWC,2,3,0.09,0,0.02,N/A,N/A,N/A,0.65,7.22,2
22,SWWC,2,3,0.03,0.93,0.02,N/A,N/A,N/A,0.23,7.19,0
23,SWWC,2,3,0.03,0.73,0.01,N/A,N/A,N/A,0.78,7.3,0
26,Austin Water,1,3,1.59,0.18,0.51,N/A,N/A,N/A,0.13,9.1,0
6,Austin Water,1,3,0.04,0.02,0.02,0.8,0.006,N/A,0.08,8.01,0
17,Manville,2,3,1.94,0.27,0.6,N/A,N/A,N/A,0.11,9.36,0
20,Austin Water,1,3,1.86,0.15,0.56,N/A,N/A,N/A,0.18,9.37,0
19,Austin Water,1,3,1.66,0.23,0.57,2,0.176,N/A,0.23,9.44,0
12,Austin Water,1,3,0.05,1.05,0.01,0.6,0.24,N/A,0.23,7.5,1
16,Goforth,2,3,0.04,1.36,0,0.6,0.002,N/A,0.22,7.46,0
24,Goforth,2,3,0.04,0.75,0.02,0.5,0.003,N/A,0.25,7.68,1
34,Austin Water,1,3,2.12,0.07,0.8,0.063,0.083,<0.412,0.8,9.06,0
38,Austin Water,1,3,2.36,0.1,0.66,0.034,0.098,1.95,0.07,8.36,0
31,Aqua WSC,2,3,0.06,1.35,0.09,0.025,0.016,<0.412,0.11,7.96,0
28,Aqua WSC,2,3,0.02,1.37,0.04,0.029,0.012,<0.412,0.07,7.96,0
33,SWWC,2,3,0.02,2.6,0.04,3.2,0.01,0.428,0.19,7.18,0
27,Austin Water,1,3,1.59,0.14,0.46,1.3,0.153,<0.412,0.15,9.62,1
36,Goforth,2,3,0.05,1.36,0.01,2.3,0.014,2.6,0.16,7.83,1
39,SWWC,2,3,0.12,1.92,0.01,1.7,0.017,1.42,10.91,7.98,0
22,SWWC,2,3,0.13,0.57,0.1,1.7,0.012,N/A,N/A,7.1,0
71,SWWC,2,3,0.05,0.46,0.1,1.8,0.003,N/A,N/A,7,2
76,SWWC,2,3,0.05,0.91,0.1,1,0.005,N/A,N/A,8.12,0
16,Goforth,2,3,0.06,0.42,0.1,1.6,0.18,N/A,N/A,7.74,0
24,Goforth,2,3,0.33,0.17,0.1,2.1,0.008,N/A,N/A,7.5,1
36,Goforth,2,3,0.04,1.22,0.1,1.5,0.006,N/A,N/A,7.95,1
77,Goforth,2,3,0.06,1.09,0.1,1.6,0.007,N/A,N/A,7.82,1
11,Austin Water,1,1,0.93,0.17,0.24,0.8,0.105,0.1,N/A,9.74,1
11,Austin Water,1,2,0.9,0.08,0.33,0.8,0.096,N/A,N/A,9.68,1
11,Austin Water,1,3,0.78,0.06,0.26,0.9,0.98,N/A,N/A,9.83,1
26,Austin Water,1,1,1.2,0.08,0.33,1.4,0.225,0.1,N/A,9.05,0
26,Austin Water,1,2,1.17,0.17,0.3,1.4,0.229,N/A,N/A,9.36,0
26,Austin Water,1,3,1.28,0.1,0.29,1.3,0.226,N/A,N/A,9.49,0
60,Austin Water,1,1,1.35,0.09,0.42,1.3,0.163,0.1,N/A,7.58,1
60,Austin Water,1,2,1.66,0.13,0.39,1.3,0.138,N/A,N/A,9.35,1
60,Austin Water,1,3,1.48,0.1,0.48,1.2,0.141,N/A,N/A,9.55,1
67,Austin Water,1,3,1.71,0.1,0.55,1.4,0.14,N/A,N/A,9.58,0
22,SWWC,2,3,0.04,0.25,0.01,2.4,0.003,N/A,N/A,7.04,0
25,SWWC,2,3,0.09,0.93,0.01,2.1,0.002,N/A,N/A,7.17,2
71,SWWC,2,3,0.03,0.06,0.01,2.7,0.003,N/A,N/A,7.06,2
24,Goforth,2,1,0.07,0,0.01,0.3,0.002,N/A,0.03,10.29,1
24,Goforth,2,2,0.09,1.36,0.01,1.1,0.001,N/A,0.05,8.23,1
24,Goforth,2,3,0.04,1.32,0.01,1.4,0.004,N/A,0.02,8.06,1
36,Goforth,2,3,0.04,1.15,0.01,1,0.007,N/A,N/A,7.88,1
77,Goforth,2,1,0.04,0.01,0.01,0.2,0.006,0.1,N/A,7.88,1
77,Goforth,2,2,0.04,0.02,0.01,0.2,0.004,0.1,N/A,7.76,1
77,Goforth,2,3,0.08,0.74,0.01,0.5,0.004,N/A,N/A,7.7,1
77,Goforth,2,3,0.1,0.9,0.01,0.8,0.005,0.1,0.02,7.59,1
10,Austin Water,1,3,1.82,0.01,0.6,1.3,0.07,N/A,0.12,9.66,0
26,Austin Water,1,3,1.44,0.12,0.45,1.3,0.151,N/A,0.15,9.64,0
60,Austin Water,1,3,1.67,0.07,0.42,1.3,0.119,N/A,0.26,9.72,11
67,Austin Water,1,3,1.65,0.01,0.47,1.3,0.13,N/A,0.21,9.72,0
22,SWWC,2,1,0.04,0.95,0.01,1.7,0.007,0.1,N/A,7.41,0
22,SWWC,2,2,0.13,1.05,0.01,0.1,0.005,N/A,0.27,7.46,0
22,SWWC,2,3,0.1,0.92,0.01,0.4,0.004,N/A,0.3,7.22,0
25,SWWC,2,1,0.04,0.2,0.01,1.4,0.004,0.1,0.11,7.26,2
25,SWWC,2,2,0.04,0.12,0.01,1.2,0,N/A,0.08,7.23,2
25,SWWC,2,3,0.04,0.17,0.01,0.2,0.005,N/A,0.19,7.19,2
71,SWWC,2,1,0.04,0.04,0.01,1.6,0.004,1.01,0.05,7.39,2
71,SWWC,2,2,0.04,0.32,0.01,0.4,0.003,N/A,0.07,7.38,2
71,SWWC,2,3,0.05,0.76,0.01,0.7,0.008,N/A,0.1,7.18,2
76,SWWC,2,1,0.04,2,0.01,1.4,0.033,0.1,0.07,8.39,0
76,SWWC,2,2,0.14,2,0.01,0.4,0.002,N/A,0.12,8.38,0
76,SWWC,2,3,0.22,2,0.01,1.4,0.004,N/A,0,8.22,0
16,Goforth,2,3,0.05,1.38,0.01,1.3,0.002,N/A,0.15,7.91,0
24,Goforth,2,3,0.14,0.89,0.02,0.2,0.003,N/A,0,7.21,1
36,Goforth,2,2,0.13,0.06,0.01,0,0.002,0.1,0.65,7.1,1
36,Goforth,2,3,0.2,0.16,0.01,0.1,0.002,N/A,0.06,7.58,1
77,Goforth,2,3,0.21,0.76,0.01,0.8,0,N/A,0.05,7.87,1
10,Austin Water,1,3,1.88,0.07,0.44,1.2,0.097,N/A,0.35,8.14,0
26,Austin Water,1,3,1.49,0.05,0.36,0.8,0.135,N/A,3.37,9.53,0
60,Austin Water,1,3,1.96,0.05,0.45,0.9,0.127,N/A,0.63,9.71,1
67,Austin Water,1,3,1.81,0.09,0.46,1.3,0.143,N/A,0.22,9.72,0
16,Goforth,2,1,0.1,0.98,0.01,1.8,0.004,0.1,0.07,7.97,0
16,Goforth,2,2,0.05,1.38,0.01,1.5,0.005,N/A,0.01,8,0
16,Goforth,2,3,0.08,1.51,0.01,2.4,0.001,N/A,0.09,7.59,0
24,Goforth,2,1,0.07,0,0.01,0.3,0.002,N/A,0.03,10.29,1
24,Goforth,2,2,0.09,1.36,0.01,1.1,0.001,N/A,0.05,8.23,1
24,Goforth,2,3,0.04,1.32,0.01,1.4,0.004,N/A,0.02,8.06,1
10,Austin Water,1,1,1.82,0.1,0.5,1.1,0.121,0.1,0.04,9.66,0
10,Austin Water,1,2,1.62,0.11,0.47,1.1,0.119,N/A,0,9.74,0
10,Austin Water,1,3,2.23,0.08,0.5,1.1,0.125,N/A,0.02,8.98,0
11,Austin Water,1,3,0.16,0.05,0.42,0.9,0.147,N/A,0,9.85,1
